config,lr,epochs,warmup_ratio,weight_decay,batch_size,micro_f1,best_val_f1_mean
A,3e-05,5,0.1,0.01,16,0.8913 ± 0.0009,0.9462
B,5e-05,5,0.1,0.01,16,0.8984 ± 0.0021,0.9473
C,3e-05,10,0.1,0.01,16,0.8970 ± 0.0053,0.9468
D,5e-05,10,0.15,0.01,16,0.8975 ± 0.0028,0.9491
E,3e-05,10,0.1,0.001,16,0.8969 ± 0.0014,0.9462
F,3e-05,10,0.2,0.01,16,0.8929 ± 0.0027,0.9447
G,6e-05,10,0.1,0.01,32,0.8999 ± 0.0002,0.9492
H,7e-05,10,0.1,0.01,32,0.8954 ± 0.0014,0.9483
I,6e-05,15,0.15,0.01,32,0.8916 ± 0.0023,0.9455
J,8e-05,10,0.15,0.01,48,0.8920 ± 0.0012,0.9478
K,5e-05,15,0.1,0.02,32,0.8961 ± 0.0015,0.9477
H,7e-05,10,0.1,0.01,32,0.8954 ± 0.0014,0.9483
I,6e-05,15,0.15,0.01,32,0.8916 ± 0.0023,0.9455
J,8e-05,10,0.15,0.01,48,0.8920 ± 0.0012,0.9478
K,5e-05,15,0.1,0.02,32,0.8961 ± 0.0015,0.9477
